borough,depot,bldg_elc_prd_MWh,prkg_elc_prd_MWh,bldg_elc_prd_kW,prkg_elc_prd_kW
Bronx,Eastchester,902.51656956236,35211.104573491,104.096490145553,4019.5324855579997
Bronx,Gun Hill,4279.74973682675,4695.144598921001,493.62742062588404,535.9754108357
Bronx,Kingsbridge,2776.843235296,1981.6882716764,320.2818033791,226.22012233769001
Bronx,West Farms,1897.0101576,9533.41365138,218.801632941,1088.28922961
Brooklyn,East New York,4439.5407205928395,878.4205407210001,512.057753240397,100.2763174339
Brooklyn,Flatbush,2261.00207872,714.721835175,260.784553486,81.5892505908
Brooklyn,Fresh Pond,1841.69160935425,1217.424230259,212.421177549872,138.97536875100002
Brooklyn,Grand Avenue,2929.6464209176,207.053510138,337.90616158236,23.6362454495
Brooklyn,Jackie Gleason,4203.92390134297,4685.737024472,484.881649520495,534.9014868111
Brooklyn,Ulmer Park,1848.05730877,1688.7453504781,213.155398935,192.77914959827
Bus Plaza,Archer Ave/Teardrop Canopy,NA,NA,NA,NA
Bus Plaza,South Ferry,29.189836552899997,58.5424281056,3.36676315489,6.68292558283
Bus Plaza,Williamsburg Bridge,8.55953002932,69.9668402735,0.98725836555,7.987082223
Manhattan,Manhattanville,1184.24411213,291.7894138574,136.591016393,33.309293819299995
Manhattan,Michael J. Quill,1829.61771977,0,211.028572061,0
Manhattan,Monther Clara Hale,1497.37138743,0,172.707195782,0
Manhattan,Tuskegee Airmen,905.603118376,0,104.452493469,0
Queens,Baisley Park,1044.6162928,2849.113876174,120.486308281,325.2413100653
Queens,Casey Stengel,1407.33698906257,11686.5563929233,162.322605428648,1334.08178001347
Queens,College Point,483.24910060055,13980.995416079,55.738073887013,1596.0040429315
Queens,Far Rockaway,381.04969149347,891.428563318,43.950368107693,101.7612515203
Queens,JFK,1998.5633678359,5104.5995736907,230.51480597922998,582.71684631045
Queens,Jamaica,2234.92666498756,5016.4083934378,257.77700864901897,572.64935997998
Queens,LaGuardia,1574.2749379391,2378.5092081750004,181.57727081214,271.5193160021
Queens,Queens Village,2814.68329283668,2842.74741815,324.646285217256,324.514545451
Queens,Spring Creek,673.884827141,3932.82126298,77.7260469597,448.95219897
Staten Island,Castleton,1876.2947440297999,3379.6961892243003,216.41231188299,385.8100672625
Staten Island,Charleston,3657.9011253734,2046.46118415,421.90324398709004,233.614290428
Staten Island,Meredith Avenue,217.50761869585,1351.05421936,25.087383932620998,154.229933717
Staten Island,Yukon,3571.75178269,1122.9955611118,411.966756942,128.19584030951998
